SEASON,TEAM,GP,PTS,PPG,SNP%,TGT,REC,CTCH%,YDS,Y/C,LNG,TD,ATT,YDS,Y/A,LNG,TD,FUM
2021,CAR,1,3.1,3.1,21%,2,2,100%,11,5.5,8,0,0,0,NaN,0,0,0
2021,CLE,14,33.4,2.4,27%,23,10,43%,135,13.5,44,1,6,39,6.5,17,0,0
2022,CLE,11,18.8,1.7,13%,10,4,40%,51,12.8,19,0,4,57,14.2,31,1,1
2022,NO,12,100.5,8.4,42%,34,28,82%,488,17.4,68,2,4,57,14.3,44,1,1
2022,BUF,14,34.1,2.4,25%,20,10,50%,161,16.1,31,1,0,0,NaN,0,0,0
2020,JAX,14,157.1,11.2,56%,79,58,73%,600,10.3,36,5,18,91,5.1,17,0,0
2021,JAX,16,127,7.9,64%,99,63,64%,619,9.8,58,0,11,41,3.7,11,0,1
2022,CAR,13,72.7,5.6,20%,32,27,84%,272,10.1,67,1,9,65,7.2,41,1,0
2016,NYG,16,184.4,11.5,95%,105,65,62%,683,10.5,32,8,3,31,10.3,22,0,0
2017,NYG,11,144.5,13.1,63%,84,59,70%,731,12.4,77,2,4,4,1,12,0,1
2018,NYG,16,182.5,11.4,91%,107,66,62%,872,13.2,58,4,3,33,11,27,0,1
2019,NYG,10,141.8,14.2,56%,83,57,69%,576,10.1,36,3,6,72,12,23,0,0
2020,NYG,12,162.5,13.5,72%,90,66,73%,656,9.9,29,3,6,49,8.2,23,1,0
2021,NYG,7,77.7,11.1,38%,53,36,68%,366,10.2,37,1,1,-9,-9,0,0,0
2022,NYG,3,34.4,11.5,80%,24,13,54%,154,11.8,65,1,0,0,0,0,0,0
2019,GB,6,-0.9,0,10%,2,1,50%,1,1,1,0,0,0,0,0,0,1
2020,GB,8,7.6,0.9,24%,8,5,63%,46,9.2,19,0,0,0,0,0,0,1
2018,ARI,13,46,3.5,41%,28,19,68%,210,11.1,21,1,0,0,0,0,0,0
2019,ARI,16,12,0.8,24%,13,4,31%,80,20,38,0,0,0,0,0,0,0
2020,ARI,15,10,0.7,7%,7,5,71%,50,10,26,0,0,0,0,0,0,0
2021,SF,17,23.7,1.4,24%,20,9,45%,87,9.7,18,1,0,0,0,0,0,0
2022,MIA,17,83.7,4.9,58%,51,30,59%,417,13.9,75,2,0,0,0,0,0,0
2019,NYG,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,NYG,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,NYG,4,3.7,0.9,37%,6,2,33%,17,8.5,12,0,0,0,0,0,0,0
2022,NYG,9,21.6,2.4,27%,17,11,65%,106,9.6,24,0,0,0,0,0,0,0
2018,WAS,1,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2019,WAS,7,4.7,0.7,9%,3,2,67%,27,13.5,15,0,0,0,0,0,0,0
2020,WAS,16,86.2,5.4,59%,49,32,65%,477,14.9,50,1,1,5,5,5,0,0
2021,WAS,14,48.8,3.5,25%,23,15,65%,211,14.1,43,2,1,7,7,7,0,0
2022,WAS,17,16.9,1,28%,18,8,44%,89,11.1,21,0,0,0,0,0,0,0
2019,WAS,16,103.5,6.5,32%,56,34,61%,310,9.1,65,4,9,85,9.4,65,1,1
2020,WAS,12,57.3,4.8,42%,37,27,73%,265,9.8,30,1,1,18,18,18,0,5
2021,PIT,1,0,0,2%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2022,PIT,12,31.4,2.6,24%,23,14,61%,104,7.4,28,0,13,70,5.4,22,0,3
2021,LAR,14,24.3,1.7,16%,20,11,55%,133,12.1,35,0,0,0,0,0,0,0
2022,LAR,14,84.3,6,68%,61,39,64%,376,9.6,32,0,1,17,17,17,1,0
2009,NE,14,0.6,0,-,0,0,0%,0,0,0,0,1,6,6,6,0,0
2010,NE,15,0,0,-,1,0,0%,0,0,0,0,0,0,0,0,0,0
2011,NE,16,3.6,0.2,-,3,1,33%,46,46,46,0,0,0,0,0,0,1
2012,NE,16,0,0,3%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2013,NE,12,0,0,2%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2014,NE,16,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2015,NE,16,0,0,2%,1,0,0%,0,0,0,0,0,0,0,0,0,0
2016,NE,13,-1.5,0,5%,1,0,0%,0,0,0,0,1,5,5,5,0,2
2017,NE,9,0,0,3%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2018,NE,16,0,0,2%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2019,NE,16,0,0,2%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2020,NE,16,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2021,NE,17,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2022,NE,17,0,0,1%,0,0,0%,0,0,0,0,0,0,0,0,0,0
2019,NYG,14,170,12.1,66%,83,48,58%,740,15.4,55,8,0,0,0,0,0,0
2020,NYG,16,141,8.8,87%,97,50,52%,751,15,41,3,2,-1,-0.5,2,0,1
2021,NYG,13,68.6,5.3,49%,58,26,45%,339,13,42,2,1,-13,-13,0,0,1
2022,NYG,16,128.4,8,61%,71,46,65%,724,15.7,55,2,0,0,0,0,0,2
2021,PHI,17,185.6,10.9,82%,104,64,62%,916,14.3,46,5,0,0,0,0,0,1
